id,primerPair,fastaid
201,15,ref|NC_014295.1|
202,4,ref|NC_021401.1|
203,6,ref|NC_021401.1|
204,15,ref|NC_021401.1|
205,4,ref|NC_001566.1|
206,5,ref|NC_001566.1|
207,6,ref|NC_001566.1|
208,15,ref|NC_001566.1|
209,15,ref|NC_024824.1|
210,15,ref|NC_015095.1|
211,15,ref|NC_024571.1|
212,5,ref|NC_023083.1|
213,15,ref|NC_033888.1|
214,15,ref|NC_018346.1|
215,15,ref|NC_033889.1|
216,15,ref|NC_025273.1|
217,15,ref|NC_033890.1|
218,4,ref|NC_033872.1|
219,5,ref|NC_027698.1|
220,1,ref|NC_012841.1|
221,8,ref|NC_012841.1|
222,4,ref|NC_016204.1|
223,1,ref|NC_030362.1|
224,2,ref|NC_030362.1|
225,3,ref|NC_030362.1|
226,5,ref|NC_030362.1|
227,8,ref|NC_030362.1|
228,15,ref|NC_030362.1|
229,15,ref|NC_034057.1|
230,4,ref|NC_013805.1|
231,15,ref|NC_024415.1|
232,15,ref|NC_015988.1|
233,15,ref|NC_026069.1|
234,1,ref|NC_027256.1|
235,5,ref|NC_027256.1|
236,8,ref|NC_027256.1|
237,15,ref|NC_027256.1|
238,15,ref|NC_021428.1|
239,15,ref|NC_011277.1|
240,4,ref|NC_025904.1|
241,4,ref|NC_020328.1|
242,5,ref|NC_020328.1|
243,4,ref|NC_012139.1|
244,4,ref|NC_034132.1|
245,15,ref|NC_034132.1|
246,4,ref|NC_032062.1|
247,2,ref|NC_011197.1|
248,3,ref|NC_011197.1|
249,4,ref|NC_011197.1|
250,5,ref|NC_011197.1|
251,1,ref|NC_034069.1|
252,2,ref|NC_034069.1|
253,3,ref|NC_034069.1|
254,8,ref|NC_034069.1|
255,15,ref|NC_034069.1|
256,15,ref|NC_024410.1|
257,15,ref|NC_024395.1|
258,15,ref|NC_024394.1|
259,6,ref|NC_024418.1|
260,15,ref|NC_024418.1|
261,15,ref|NC_024397.1|
262,15,ref|NC_024393.1|
263,15,ref|NC_017744.1|
264,15,ref|NC_034148.1|
265,15,ref|NC_034102.1|
266,6,ref|NC_011824.1|
267,15,ref|NC_011824.1|
268,4,ref|NC_028597.1|
269,6,ref|NC_028597.1|
270,15,ref|NC_028168.1|
271,1,ref|NC_027181.1|
272,2,ref|NC_027181.1|
273,3,ref|NC_027181.1|
274,4,ref|NC_027181.1|
275,5,ref|NC_027181.1|
276,8,ref|NC_027181.1|
277,15,ref|NC_024564.1|
278,4,ref|NC_021770.1|
279,15,ref|NC_021770.1|
280,4,ref|NC_030000.1|
281,15,ref|NC_023791.1|
282,1,ref|NC_030055.1|
283,2,ref|NC_030055.1|
284,3,ref|NC_030055.1|
285,4,ref|NC_030055.1|
286,5,ref|NC_030055.1|
287,8,ref|NC_030055.1|
288,15,ref|NC_030055.1|
289,6,ref|NC_028327.1|
290,6,ref|NC_009772.1|
291,6,ref|NC_008748.1|
292,6,ref|NC_031388.1|
293,4,ref|NC_014402.1|
294,4,ref|NC_005333.1|
295,6,ref|NC_005333.1|
296,6,ref|NC_009770.1|
297,6,ref|NC_009771.1|
298,5,ref|NC_014611.1|
299,6,ref|NC_014611.1|
300,5,ref|NC_029468.1|
301,4,ref|NC_027725.1|
302,4,ref|NC_022671.1|
303,1,ref|NC_024056.1|
304,8,ref|NC_024056.1|
305,15,ref|NC_024056.1|
306,15,ref|NC_006279.1|
307,15,ref|NC_024413.1|
308,1,ref|NC_030060.1|
309,6,ref|NC_030060.1|
310,8,ref|NC_030060.1|
311,15,ref|NC_030060.1|
312,2,ref|NC_011195.1|
313,3,ref|NC_011195.1|
314,4,ref|NC_011195.1|
315,15,ref|NC_020004.1|
316,15,ref|NC_030769.1|
317,15,ref|NC_027111.1|
318,15,ref|NC_030632.1|
319,15,ref|NC_029224.1|
320,15,ref|NC_018549.1|
321,15,ref|NC_012901.1|
322,4,ref|NC_011923.1|
323,6,ref|NC_011923.1|
324,15,ref|NC_011923.1|
325,4,ref|NC_010967.1|
326,6,ref|NC_010967.1|
327,15,ref|NC_010967.1|
328,15,ref|NC_026518.1|
329,15,ref|NC_003395.1|
330,15,ref|NC_002355.1|
331,4,ref|NC_015119.1|
332,6,ref|NC_015119.1|
333,4,ref|NC_009983.1|
334,6,ref|NC_009983.1|
335,15,ref|NC_009983.1|
336,1,ref|NC_022670.1|
337,4,ref|NC_022670.1|
338,5,ref|NC_022670.1|
339,8,ref|NC_022670.1|
340,1,ref|NC_026305.1|
341,2,ref|NC_026305.1|
342,3,ref|NC_026305.1|
343,4,ref|NC_026305.1|
344,6,ref|NC_026305.1|
345,8,ref|NC_026305.1|
346,15,ref|NC_034279.1|
347,2,ref|NC_024745.1|
348,3,ref|NC_024745.1|
349,4,ref|NC_024745.1|
350,5,ref|NC_024745.1|
351,15,ref|NC_034059.1|
352,4,ref|NC_034029.1|
353,15,ref|NC_034029.1|
354,15,ref|NC_034147.1|
355,4,ref|NC_032298.1|
356,15,ref|NC_032298.1|
357,1,ref|NC_027087.1|
358,2,ref|NC_027087.1|
359,3,ref|NC_027087.1|
360,4,ref|NC_027087.1|
361,8,ref|NC_027087.1|
362,15,ref|NC_027087.1|
363,4,ref|NC_028445.1|
364,6,ref|NC_028445.1|
365,15,ref|NC_028445.1|
366,15,ref|NC_015480.1|
367,15,ref|NC_026060.1|
368,1,ref|NC_028598.1|
369,8,ref|NC_028598.1|
370,6,ref|NC_029215.1|
371,6,ref|NC_019639.1|
372,6,ref|NC_028411.1|
373,4,ref|NC_030626.1|
374,2,ref|NC_011305.1|
375,3,ref|NC_011305.1|
376,4,ref|NC_011305.1|
377,5,ref|NC_025496.1|
378,5,ref|NC_025497.1|
379,1,ref|NC_020031.1|
380,5,ref|NC_020031.1|
381,6,ref|NC_020031.1|
382,8,ref|NC_020031.1|
383,4,ref|NC_018339.1|
384,1,ref|NC_007884.1|
385,2,ref|NC_007884.1|
386,4,ref|NC_007884.1|
387,5,ref|NC_007884.1|
388,8,ref|NC_007884.1|
389,15,ref|NC_007884.1|
390,1,ref|NC_008233.1|
391,2,ref|NC_008233.1|
392,3,ref|NC_008233.1|
393,5,ref|NC_008233.1|
394,8,ref|NC_008233.1|
395,4,ref|NC_029357.1|
396,5,ref|NC_029357.1|
397,15,ref|NC_029357.1|
398,4,ref|NC_028060.1|
399,5,ref|NC_028060.1|
400,15,ref|NC_028060.1|
401,15,ref|NC_023212.1|
402,15,ref|NC_024646.1|
403,6,ref|NC_030165.1|
404,15,ref|NC_022687.1|
405,4,ref|NC_022682.1|
406,6,ref|NC_022682.1|
407,15,ref|NC_022682.1|
408,5,ref|NC_034097.1|
409,15,ref|NC_034097.1|
410,15,ref|NC_022853.1|
411,15,ref|NC_018049.1|
412,1,ref|NC_034136.1|
413,2,ref|NC_034136.1|
414,3,ref|NC_034136.1|
415,8,ref|NC_034136.1|
416,15,ref|NC_034136.1|
417,5,ref|NC_019994.1|
418,4,ref|NC_025285.1|
419,5,ref|NC_025285.1|
420,6,ref|NC_025285.1|
421,4,ref|NC_000857.1|
422,4,ref|NC_024926.1|
423,6,ref|NC_024926.1|
424,15,ref|NC_024926.1|
425,6,ref|NC_026070.1|
426,15,ref|NC_026070.1|
427,1,ref|NC_011324.1|
428,2,ref|NC_011324.1|
429,3,ref|NC_011324.1|
430,8,ref|NC_011324.1|
431,15,ref|NC_018538.1|
432,1,ref|NC_013576.1|
433,5,ref|NC_013576.1|
434,8,ref|NC_013576.1|
435,1,ref|NC_023246.1|
436,2,ref|NC_023246.1|
437,3,ref|NC_023246.1|
438,5,ref|NC_023246.1|
439,8,ref|NC_023246.1|
440,15,ref|NC_024644.1|
441,15,ref|NC_029716.1|
442,15,ref|NC_015612.1|
443,6,ref|NC_026569.1|
444,15,ref|NC_026569.1|
445,4,ref|NC_033349.1|
446,6,ref|NC_033349.1|
447,15,ref|NC_024647.1|
448,2,ref|NC_019993.1|
449,3,ref|NC_019993.1|
450,4,ref|NC_019993.1|
451,5,ref|NC_019993.1|
452,15,ref|NC_019996.1|
453,1,ref|NC_011095.1|
454,2,ref|NC_011095.1|
455,3,ref|NC_011095.1|
456,4,ref|NC_011095.1|
457,5,ref|NC_011095.1|
458,6,ref|NC_011095.1|
459,8,ref|NC_011095.1|
460,4,ref|NC_012765.1|
461,5,ref|NC_012765.1|
462,6,ref|NC_012765.1|
463,6,ref|NC_019631.1|
464,6,ref|NC_019632.1|
465,6,ref|NC_019633.1|
466,6,ref|NC_028412.1|
467,6,ref|NC_031381.1|
468,6,ref|NC_025338.1|
469,6,ref|NC_002697.1|
470,6,ref|NC_019634.1|
471,6,ref|NC_019635.1|
472,15,ref|NC_019618.1|
473,6,ref|NC_030341.1|
474,15,ref|NC_030341.1|
475,15,ref|NC_015093.1|
476,1,ref|NC_030043.1|
477,2,ref|NC_030043.1|
478,3,ref|NC_030043.1|
479,4,ref|NC_030043.1|
480,8,ref|NC_030043.1|
481,15,ref|NC_030043.1|
482,1,ref|NC_015985.1|
483,9,ref|NC_015985.1|
484,15,ref|NC_015985.1|
485,15,ref|NC_034141.1|
486,15,ref|NC_027253.1|
487,15,ref|NC_026218.1|
488,1,ref|NC_015997.1|
489,2,ref|NC_015997.1|
490,3,ref|NC_015997.1|
491,4,ref|NC_015997.1|
492,5,ref|NC_015997.1|
493,8,ref|NC_015997.1|
494,15,ref|NC_015997.1|
495,4,ref|NC_028062.1|
496,6,ref|NC_028062.1|
497,4,ref|NC_034144.1|
498,5,ref|NC_034144.1|
499,15,ref|NC_034144.1|
500,4,ref|NC_029408.1|
501,4,ref|NC_033987.1|
502,1,ref|NC_016696.1|
503,8,ref|NC_016696.1|
504,4,ref|NC_033988.1|
505,15,ref|NC_021389.1|
506,15,ref|NC_034044.1|
507,6,ref|NC_011320.1|
508,1,ref|NC_012449.1|
509,2,ref|NC_012449.1|
510,3,ref|NC_012449.1|
511,4,ref|NC_012449.1|
512,5,ref|NC_012449.1|
513,6,ref|NC_012449.1|
514,8,ref|NC_012449.1|
515,15,ref|NC_012449.1|
516,1,ref|NC_030011.1|
517,2,ref|NC_030011.1|
518,3,ref|NC_030011.1|
519,4,ref|NC_030011.1|
520,5,ref|NC_030011.1|
521,8,ref|NC_030011.1|
522,15,ref|NC_030011.1|
523,1,ref|NC_030012.1|
524,2,ref|NC_030012.1|
525,3,ref|NC_030012.1|
526,4,ref|NC_030012.1|
527,5,ref|NC_030012.1|
528,8,ref|NC_030012.1|
529,15,ref|NC_030012.1|
530,1,ref|NC_015800.1|
531,2,ref|NC_015800.1|
532,3,ref|NC_015800.1|
533,4,ref|NC_015800.1|
534,8,ref|NC_015800.1|
535,15,ref|NC_015800.1|
536,1,ref|NC_030013.1|
537,2,ref|NC_030013.1|
538,3,ref|NC_030013.1|
539,5,ref|NC_030013.1|
540,8,ref|NC_030013.1|
541,15,ref|NC_030013.1|
542,1,ref|NC_030014.1|
543,2,ref|NC_030014.1|
544,3,ref|NC_030014.1|
545,4,ref|NC_030014.1|
546,5,ref|NC_030014.1|
547,8,ref|NC_030014.1|
548,15,ref|NC_030014.1|
549,1,ref|NC_030015.1|
550,2,ref|NC_030015.1|
551,3,ref|NC_030015.1|
552,4,ref|NC_030015.1|
553,5,ref|NC_030015.1|
554,8,ref|NC_030015.1|
555,15,ref|NC_030015.1|
556,1,ref|NC_030016.1|
557,2,ref|NC_030016.1|
558,3,ref|NC_030016.1|
559,4,ref|NC_030016.1|
560,5,ref|NC_030016.1|
561,8,ref|NC_030016.1|
562,15,ref|NC_030016.1|
563,1,ref|NC_018125.1|
564,2,ref|NC_018125.1|
565,3,ref|NC_018125.1|
566,5,ref|NC_018125.1|
567,8,ref|NC_018125.1|
568,15,ref|NC_018125.1|
569,1,ref|NC_030017.1|
570,2,ref|NC_030017.1|
571,3,ref|NC_030017.1|
572,5,ref|NC_030017.1|
573,8,ref|NC_030017.1|
574,15,ref|NC_030017.1|
575,1,ref|NC_030018.1|
576,2,ref|NC_030018.1|
577,3,ref|NC_030018.1|
578,4,ref|NC_030018.1|
579,5,ref|NC_030018.1|
580,8,ref|NC_030018.1|
581,15,ref|NC_030018.1|
582,1,ref|NC_030019.1|
583,2,ref|NC_030019.1|
584,3,ref|NC_030019.1|
585,4,ref|NC_030019.1|
586,5,ref|NC_030019.1|
587,8,ref|NC_030019.1|
588,15,ref|NC_030019.1|
589,1,ref|NC_030020.1|
590,4,ref|NC_030020.1|
591,5,ref|NC_030020.1|
592,8,ref|NC_030020.1|
593,15,ref|NC_030020.1|
594,1,ref|NC_028722.1|
595,2,ref|NC_028722.1|
596,3,ref|NC_028722.1|
597,4,ref|NC_028722.1|
598,5,ref|NC_028722.1|
599,8,ref|NC_028722.1|
600,15,ref|NC_028722.1|
601,1,ref|NC_030021.1|
602,2,ref|NC_030021.1|
603,3,ref|NC_030021.1|
604,5,ref|NC_030021.1|
605,8,ref|NC_030021.1|
606,15,ref|NC_030021.1|
607,15,ref|NC_016866.1|
608,15,ref|NC_007976.1|
609,15,ref|NC_034086.1|
610,15,ref|NC_034055.1|
611,4,ref|NC_011276.1|
612,4,ref|NC_022922.1|
613,15,ref|NC_014272.1|
614,4,ref|NC_016203.1|
615,15,ref|NC_034113.1|
616,15,ref|NC_030267.1|
617,4,ref|NC_030257.1|
618,6,ref|NC_030257.1|
619,5,ref|NC_034041.1|
620,15,ref|NC_034041.1|
621,4,ref|NC_003372.1|
622,6,ref|NC_003372.1|
623,15,ref|NC_003372.1|
624,4,ref|NC_030191.1|
625,6,ref|NC_030191.1|
626,15,ref|NC_030191.1|
627,4,ref|NC_018132.1|
628,6,ref|NC_018132.1|
629,15,ref|NC_018132.1|
630,1,ref|NC_028203.1|
631,2,ref|NC_028203.1|
632,3,ref|NC_028203.1|
633,4,ref|NC_028203.1|
634,5,ref|NC_028203.1|
635,6,ref|NC_028203.1|
636,8,ref|NC_028203.1|
637,1,ref|NC_010533.1|
638,4,ref|NC_010533.1|
639,8,ref|NC_010533.1|
640,15,ref|NC_010533.1|
641,15,ref|NC_021410.1|
642,4,ref|NC_025760.1|
643,15,ref|NC_025760.1|
644,1,ref|NC_016704.1|
645,2,ref|NC_016704.1|
646,3,ref|NC_016704.1|
647,4,ref|NC_016704.1|
648,5,ref|NC_016704.1|
649,6,ref|NC_016704.1|
650,8,ref|NC_016704.1|
651,15,ref|NC_016704.1|
652,15,ref|NC_034033.1|
653,15,ref|NC_034056.1|
654,15,ref|NC_034109.1|
655,15,ref|NC_026113.1|
656,4,ref|NC_018350.1|
657,6,ref|NC_028616.1|
658,4,ref|NC_009809.1|
659,6,ref|NC_020779.1|
660,15,ref|NC_020779.1|
661,1,ref|NC_034293.1|
662,4,ref|NC_034293.1|
663,8,ref|NC_034293.1|
664,15,ref|NC_023088.1|
665,4,ref|NC_031397.1|
666,6,ref|NC_031397.1|
667,15,ref|NC_020003.2|
668,4,ref|NC_008756.1|
669,1,ref|NC_034096.1|
670,2,ref|NC_034096.1|
671,3,ref|NC_034096.1|
672,8,ref|NC_034096.1|
673,15,ref|NC_034096.1|
674,4,ref|NC_028059.1|
675,15,ref|NC_026071.1|
676,6,ref|NC_028599.1|
677,4,ref|NC_032690.1|
678,15,ref|NC_024648.1|
679,4,ref|NC_016469.1|
680,15,ref|NC_024532.1|
681,15,ref|NC_021452.1|
682,15,ref|NC_026699.1|
683,1,ref|NC_016919.1|
684,2,ref|NC_016919.1|
685,3,ref|NC_016919.1|
686,4,ref|NC_016919.1|
687,5,ref|NC_016919.1|
688,6,ref|NC_016919.1|
689,7,ref|NC_016919.1|
690,8,ref|NC_016919.1|
691,9,ref|NC_016919.1|
692,10,ref|NC_016919.1|
693,11,ref|NC_016919.1|
694,12,ref|NC_016919.1|
695,13,ref|NC_016919.1|
696,14,ref|NC_016919.1|
697,15,ref|NC_016919.1|
698,4,ref|NC_024271.1|
699,15,ref|NC_028505.1|
700,4,ref|NC_012644.1|
701,5,ref|NC_012644.1|
702,15,ref|NC_012644.1|
703,4,ref|NC_033981.1|
704,15,ref|NC_020428.1|
705,15,ref|NC_027156.1|
706,15,ref|NC_025763.1|
707,15,ref|NC_027157.1|
708,1,ref|NC_011813.1|
709,4,ref|NC_011813.1|
710,8,ref|NC_011813.1|
711,15,ref|NC_012708.1|
712,1,ref|NC_030214.1|
713,2,ref|NC_030214.1|
714,3,ref|NC_030214.1|
715,4,ref|NC_030214.1|
716,8,ref|NC_030214.1|
717,15,ref|NC_030214.1|
718,15,ref|NC_013274.1|
719,15,ref|NC_029810.1|
720,15,ref|NC_024409.1|
721,6,ref|NC_033989.1|
722,2,ref|NC_022843.1|
723,5,ref|NC_022843.1|
724,4,ref|NC_013257.1|
725,15,ref|NC_013257.1|
726,4,ref|NC_022727.1|
727,6,ref|NC_022727.1|
728,15,ref|NC_022727.1|
729,4,ref|NC_029354.1|
730,1,ref|NC_020373.1|
731,5,ref|NC_020373.1|
732,6,ref|NC_020373.1|
733,8,ref|NC_020373.1|
734,15,ref|NC_024400.1|
735,1,ref|NC_028154.1|
736,2,ref|NC_028154.1|
737,3,ref|NC_028154.1|
738,4,ref|NC_028154.1|
739,5,ref|NC_028154.1|
740,8,ref|NC_028154.1|
741,15,ref|NC_028154.1|
742,1,ref|NC_018129.1|
743,2,ref|NC_018129.1|
744,3,ref|NC_018129.1|
745,5,ref|NC_018129.1|
746,8,ref|NC_018129.1|
747,15,ref|NC_018129.1|
748,6,ref|NC_028518.1|
749,6,ref|NC_005779.1|
750,6,ref|NC_005780.1|
751,6,ref|NC_005781.1|
752,4,ref|NC_031652.1|
753,4,ref|NC_024657.1|
754,1,ref|NC_014289.1|
755,4,ref|NC_014289.1|
756,8,ref|NC_014289.1|
757,15,ref|NC_014488.1|
758,15,ref|NC_021756.1|
759,15,ref|NC_026061.1|
760,15,ref|NC_034101.1|
761,1,ref|NC_024838.1|
762,4,ref|NC_024838.1|
763,8,ref|NC_024838.1|
764,15,ref|NC_024838.1|
765,6,ref|NC_029873.1|
766,6,ref|NC_012819.1|
767,1,ref|NC_014694.1|
768,4,ref|NC_014694.1|
769,5,ref|NC_014694.1|
770,6,ref|NC_014694.1|
771,8,ref|NC_014694.1|
772,15,ref|NC_023936.1|
773,1,ref|NC_025905.1|
774,2,ref|NC_025905.1|
775,3,ref|NC_025905.1|
776,8,ref|NC_025905.1|
777,15,ref|NC_025905.1|
778,1,ref|NC_034019.1|
779,2,ref|NC_034019.1|
780,3,ref|NC_034019.1|
781,8,ref|NC_034019.1|
782,15,ref|NC_034019.1|
783,6,ref|NC_034149.1|
784,15,ref|NC_034149.1|
785,4,ref|NC_012645.1|
786,5,ref|NC_012645.1|
787,5,ref|NC_031820.1|
788,5,ref|NC_029192.1|
789,1,ref|NC_020045.1|
790,5,ref|NC_020045.1|
791,7,ref|NC_020045.1|
792,9,ref|NC_020045.1|
793,10,ref|NC_020045.1|
794,11,ref|NC_020045.1|
795,12,ref|NC_020045.1|
796,13,ref|NC_020045.1|
797,14,ref|NC_020045.1|
798,15,ref|NC_020045.1|
799,15,ref|NC_012727.1|
800,6,ref|NC_033352.1|
801,15,ref|NC_033352.1|
802,15,ref|NC_021427.1|
803,15,ref|NC_032075.1|
804,4,ref|NC_014449.1|
805,6,ref|NC_014449.1|
806,15,ref|NC_014449.1|
807,6,ref|NC_025945.1|
808,15,ref|NC_032382.1|
809,5,ref|NC_034064.1|
810,15,ref|NC_034064.1|
811,4,ref|NC_026058.1|
812,5,ref|NC_026058.1|
813,15,ref|NC_026058.1|
814,1,ref|NC_014493.1|
815,4,ref|NC_014493.1|
816,6,ref|NC_014493.1|
817,8,ref|NC_014493.1|
818,15,ref|NC_014493.1|
819,5,ref|NC_026059.1|
820,15,ref|NC_026059.1|
821,1,ref|NC_026057.1|
822,4,ref|NC_026057.1|
823,5,ref|NC_026057.1|
824,8,ref|NC_026057.1|
825,15,ref|NC_026057.1|
826,15,ref|NC_024414.1|
827,15,ref|NC_024863.1|
828,15,ref|NC_016720.1|
829,6,ref|NC_014274.1|
830,15,ref|NC_014274.1|
831,15,ref|NC_027145.1|
832,15,ref|NC_032285.1|
833,15,ref|NC_022685.1|
834,4,ref|NC_027109.1|
835,15,ref|NC_027109.1|
836,4,ref|NC_027489.1|
837,15,ref|NC_034231.1|
838,1,ref|NC_022449.1|
839,8,ref|NC_022449.1|
840,15,ref|NC_026840.1|
841,15,ref|NC_024396.1|
842,15,ref|NC_031507.1|
843,1,ref|NC_013238.1|
844,4,ref|NC_013238.1|
845,7,ref|NC_013238.1|
846,9,ref|NC_013238.1|
847,10,ref|NC_013238.1|
848,11,ref|NC_013238.1|
849,12,ref|NC_013238.1|
850,13,ref|NC_013238.1|
851,14,ref|NC_013238.1|
852,15,ref|NC_013238.1|
853,15,ref|NC_030509.1|
854,2,ref|NC_014704.1|
855,3,ref|NC_014704.1|
856,4,ref|NC_014704.1|
857,6,ref|NC_014704.1|
858,6,ref|NC_017748.1|
859,15,ref|NC_016419.1|
860,4,ref|NC_016865.1|
861,4,ref|NC_024923.1|
862,4,ref|NC_020329.1|
863,1,ref|NC_024155.1|
864,8,ref|NC_024155.1|
865,4,ref|NC_034116.1|
866,15,ref|NC_034116.1|
867,4,ref|NC_026132.1|
868,5,ref|NC_026132.1|
869,15,ref|NC_026132.1|
870,4,ref|NC_026711.1|
871,5,ref|NC_026711.1|
872,15,ref|NC_026711.1|
